月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","06289P","臺股指元大49售18","2.66","1.52","2.40","47","2509190","1045000","20.90"
"11405","062900","T50反1凱基47購04","2.13","1.13","1.50","25","227040","151000","3.02"
"11405","062901","A50正2凱基46購02","0.54","0.28","0.39","8","363200","925000","18.50"
"11405","062902","FANG+凱基48購01","0.36","0.23","0.27","13","114000","410000","13.66"
"11405","062903","和大凱基46購01","1.00","0.65","0.78","19","402520","510000","102.00"
"11405","062904","中鋼凱基46購01","0.80","0.57","0.70","9","79280","112000","22.40"
"11405","062905","川湖凱基49購02","1.93","1.30","1.79","28","1800850","1002000","50.10"
"11405","062907","台積電凱基5C購01","0.83","0.63","0.74","17","218620","293000","12.73"
"11405","062908","智邦凱基4A購01","1.11","0.77","1.00","92","1240000","1237000","58.90"
"11405","062909","所羅門凱基46購02","0.04","0.04","0.04","1","1280","32000","6.40"
"11405","06290P","台灣50富邦47售06","1.94","1.81","1.86","4","112100","60000","0.85"
"11405","062910","金像電凱基47購02","0.68","0.28","0.53","38","235960","444000","21.14"
"11405","062912","台光電凱基46購09","0.64","0.30","0.40","10","244880","598000","119.60"
"11405","062913","南亞科凱基46購04","3.61","2.18","2.38","14","817160","342000","68.40"
"11405","062915","中工凱基47購01","0.48","0.31","0.46","8","166220","360000","18.00"
"11405","062916","長榮凱基48購03","2.60","0.89","1.95","120","12103150","6179000","308.95"
"11405","062917","長榮凱基4A購03","2.39","0.99","1.62","13","140040","86000","4.30"
"11405","062918","陽明凱基4A購01","2.61","1.35","2.09","126","4230140","2021000","101.05"
"11405","06291P","台灣50富邦48售04","3.19","1.93","2.26","14","516250","228000","3.25"
"11405","062920","亞光凱基49購01","0.73","0.37","0.57","86","581760","1006000","47.90"
"11405","062921","智原凱基48購01","0.35","0.14","0.21","23","37700","173000","8.65"
"11405","062923","世芯凱基46購17","0.03","0.03","0.03","1","870","29000","5.80"
"11405","062924","精銳凱基46購01","0.28","0.05","0.15","20","49340","325000","65.00"
"11405","062925","精銳凱基46購02","0.94","0.31","0.47","37","555570","1175000","235.00"
"11405","062926","材料凱基48購02","1.25","0.74","0.95","89","440140","461000","23.05"
"11405","062928","緯穎凱基47購03","0.41","0.41","0.41","4","70520","172000","8.60"
"11405","062929","力積電凱基46購04","0.72","0.40","0.51","5","24070","47000","9.40"
"11405","06292P","台灣50富邦49售01","2.22","1.23","1.46","11","120330","82000","1.17"
"11405","062931","佳能國票47購02","0.31","0.09","0.19","75","1114840","5813000","145.32"
"11405","062932","中工國票46購01","0.32","0.21","0.27","41","874630","3196000","213.06"
"11405","062933","亞光國票47購01","0.52","0.15","0.37","46","682560","1838000","73.52"
"11405","062934","亞光國票47購02","0.87","0.42","0.66","63","1749960","2638000","131.90"
"11405","062938","精銳國票47購01","1.34","0.44","0.64","50","858630","1339000","133.90"
"11405","06293P","長榮統一46售05","0.63","0.22","0.32","6","45400","140000","2.80"
"11405","062942","金融類國票46購02","0.48","0.35","0.38","8","9340","24000","3.00"
"11405","062944","美費半元大48購01","0.42","0.40","0.41","2","7500","18000","3.60"
"11405","062945","台塑元大4C購01","2.12","1.69","1.94","15","243380","125000","2.50"
"11405","062946","東陽元大46購09","0.65","0.32","0.46","48","2486200","5327000","204.88"
"11405","062947","名軒元大46購03","0.28","0.22","0.25","9","48350","190000","7.30"
"11405","062948","東元元大46購04","0.10","0.10","0.10","1","1100","11000","0.22"
"11405","06294P","世芯統一4A售02","0.91","0.54","0.63","26","157700","248000","4.96"
"11405","062950","川湖元大46購12","1.64","1.18","1.38","35","969140","698000","13.96"
"11405","062951","川湖元大46購13","1.28","0.80","0.98","45","2485840","2522000","90.07"
"11405","062952","聯電元大46購12","3.31","2.09","2.81","14","270230","96000","3.69"
"11405","062953","金寶元大49購04","0.64","0.43","0.52","47","1266900","2418000","93.00"
"11405","062954","鴻海元大46購22","1.13","0.79","0.96","4","23040","24000","0.48"
"11405","062956","鴻海元大46購24","0.04","0.03","0.03","2","350","10000","0.38"
"11405","062957","仁寶元大4A購01","1.02","0.65","0.79","101","2460430","3097000","114.70"
"11405","062958","台積電元大46購23","0.01","0.01","0.01","10","100","10000","0.31"
"11405","062959","台積電元大46購24","0.05","0.04","0.04","2","1050","25000","0.96"
"11405","06295P","中鋼中信46售02","0.01","0.01","0.01","10","35120","3512000","31.92"
"11405","062960","台積電元大4A購05","0.18","0.10","0.13","53","362960","2674000","53.48"
"11405","062962","燿華元大46購04","0.20","0.07","0.08","4","3880","44000","0.88"
"11405","062963","大同元大46購17","0.55","0.15","0.26","79","677110","2529000","97.26"
"11405","062964","凱美元大46購03","0.32","0.19","0.20","5","4600","22000","0.88"
